BEAM - szerokość całkowita,DWT - nośność statku,GT - pojemność statku brutto,LOA - długość statku,Nazwa statku,NT - pojemność statku netto,Maksymalne zanurzenie letnie,Numer IMO,Numer MMSI,Sygnał wywoławczy,Typ statku
26.8,17892,17488,168.11,OOCL RAUMA,8125,9.61,9462794,246650000,PBWS,Container Ship (Fully Cellular)
16.32,5184,4115,100.62,BREB MUKRAN,2005,6.39,9155432,255805938,CQIE6,General Cargo Ship
12.5,3850,2545,88.78,RIX SAPPHIRE,1460,5.42,9195729,636023759,5LPG7,General Cargo Ship
21.64,15012,12743,143.1,HAPPY PEREGRINE,3823,9.5,9553660,219558000,OWWQ2,LPG Tanker
27.24,28358,17018,169.37,HELGA,10104,9.82,9444912,636022719,D5BK2,Bulk Carrier
13.03,4023,2469,85.65,ELENORA,1272,5.71,9184421,255924000,CQWD,General Cargo Ship
18.03,7939,4812,108,ALTAY,2242,7.51,9276315,256257000,9HA5766,Chemical/Products Tanker
12.65,3806,2518,89.75,BALTIC COASTER,1423,5.49,9963009,255915748,CQ2206,General Cargo Ship
23.43,7330,15955,150.38,MARCO POLO,4786,6.02,9019080,209764000,5BJX5,Passenger/Ro-Ro Ship (Vehicles)
11.33,1946,1568,81.09,ANTONIA B,556,3.74,8919221,211100000,DGPS,General Cargo Ship
11.33,1946,1568,81.09,ANTONIA B,556,3.74,8919221,211100000,DGPS,General Cargo Ship
31,6440,26391,177.2,HUCKLEBERRY FINN,8417,6.1,8618358,265874000,SHLU,Passenger/Ro-Ro Ship (Vehicles)
17.22,5011,4292,99.98,GAS NOBLE,1376,6.11,9697492,538011272,V7A6889,LPG Tanker
25.63,20646,15487,167.99,AVA D,7838,10.2,9306225,255705000,CQGB,Container Ship (Fully Cellular)
12.95,3723,2446,87.98,RIX PARTNER,1369,5.49,9195212,255805980,CQIJ8,General Cargo Ship
51.3,190668,153115,365.79,MSC BARI,88718,17.5,9461441,636092188,A8YD3,Container Ship (Fully Cellular)
11.4,2350,1909,89.16,LYRIKA,757,4.05,9080675,277344000,LYSE,General Cargo Ship
11.38,2310,1536,82.45,DANICA HAV,774,4.18,8401535,308924000,C6ML9,General Cargo Ship
16.85,6980,5313,115.47,KRISTA,2382,6.28,9434759,305284000,V2DO7,General Cargo Ship
24.2,5010,6639,90.3,ASSISTER,1991,7.8,9193783,219699000,OYUJ2,Anchor Handling Tug Supply
23.43,7330,15955,150.38,MARCO POLO,4786,6.02,9019080,209764000,5BJX5,Passenger/Ro-Ro Ship (Vehicles)
13.35,3641,2593,88,BALTIC WAVE,1212,4.9,9969508,246415000,PIBV,General Cargo Ship
15.29,5487,4102,106.77,KARITA,1851,5.55,9436783,305155000,V2RF7,General Cargo Ship
21.63,15988,10917,148,YM SATURN,5261,8.6,9362138,256929000,9HFW9,Chemical/Products Tanker
32.31,61090,34425,198,ALWINE,20082,13.04,9692698,636024725,D5YN3,Bulk Carrier
25.6,5645,26904,186.42,STENA FLAVIA,8912,6.2,9417919,219560000,OWOD2,Passenger/Ro-Ro Ship (Vehicles)
30,34.999,23432,180,MAJESTIC VERA,,10.08,,,8PRO1,
16.54,6796,5335,119.31,NORJARL,2566,6.28,9436264,259143000,LAZN7,General Cargo Ship (Open Hatch)
23.5,14220,12514,157.93,SVENDBORG,5387,8.6,9454230,255805594,CQHS,Container Ship (Fully Cellular)
12.67,3729,2597,88.6,HOOGVLIET,1460,5.42,9625231,246458000,PCRO,General Cargo Ship
15.44,4800,3610,100.71,KERTU,1783,5.88,9344368,256956000,9HA4046,General Cargo Ship
10.93,2086,1472,79.02,HELGA,726,3.99,8402577,341832000,V4ZB4,General Cargo Ship
13.44,4148,2825,90.46,SUNMI,1604,5.6,9073581,309937000,C6WS3,General Cargo Ship
23.03,16878,11880,144.06,HARBOUR FASHION,5272,9,9473080,255803880,CQNM,Chemical/Products Tanker
31.63,4803,40859,184.6,PONT AVEN,23134,6.8,9268708,228183600,FNPN,Passenger/Ro-Ro Ship (Vehicles)
29.4,33557,19789,175.53,MATAKANA ISLAND,11615,9.93,9295153,477733300,VRGM4,Bulk Carrier
25.28,19436,18410,170.91,OCEAN GRAND,6242,9.5,9681821,367665030,WDH9141,General Cargo Ship
32.26,52512,29862,189.99,GOKOVA-M,18001,12.02,9243526,354211000,3ECF,Bulk Carrier
44.03,109475,64309,249.85,KMARIN RIGOUR,33528,15.02,9683049,235108529,2ICI3,Crude Oil Tanker
12.65,2586,1804,78.63,ORANESS,809,4.79,8416786,220018000,OWAB2,Chemical Tanker
48.03,157447,81502,274,NISSOS IOS,51036,17.17,9886770,,V7A2901,Crude Oil Tanker
13.63,4506,3117,99.86,KADRI,1744,5.63,9114725,256341000,9HRQ8,General Cargo Ship
18.1,7129,6377,119.9,EBERHART ESSBERGER,1914,6.5,9939802,,,Chemical/Products Tanker
13.63,4506,3117,99.86,KADRI,1744,5.63,9114725,305665000,V2RE4,General Cargo Ship
13.4,5390,2904,89,RIX MELODY,1656,7.01,9142631,210387000,5BXV5,General Cargo Ship
25.63,20646,15487,167.99,AVA D,7838,10.2,9306225,255705000,CQGB,Container Ship (Fully Cellular)
25.63,20646,15487,167.99,AVA D,7838,10.2,9306225,255705000,CQGB,Container Ship (Fully Cellular)
0,40393,24439,182.94,STAR HARRIER,13003,10.392,9941544,352001880,3E2789,Bulk Carrier
32.26,80860,44403,228.9,CL DAYANG HE,27336,14.47,9880283,538011562,V7A3130,Bulk Carrier
29.6,31114,32245,204.29,CMA CGM MERMAID,9673,10,9961283,256708000,9HA5943,Container Ship (Fully Cellular)
25.63,20646,15487,167.99,AVA D,7838,10.2,9306225,255705000,CQGB,Container Ship (Fully Cellular)
12.7,3400,2345,82.45,RIX LAKE,1195,5.31,9109043,209313000,5BAM5,General Cargo Ship
12.7,3400,2345,82.45,RIX LAKE,1195,5.31,9109043,209313000,5BAM5,General Cargo Ship
19.4,2000,6499,83,WIND OF HOPE,1949,5.2,9869045,228388900,FLZT,Service Operation Vessel
27.6,8887,11910,137.5,VOX APOLONIA,3573,5.8,9867097,245256000,PDSN,Trailing Suction Hopper Dredger
16.03,3350,2150,71.9,SYLUR,997,5.81,9267039,212577000,5BPZ4,Platform Supply Ship
16.85,7100,5313,115.46,KAARI,2350,6.28,9434761,305342000,V2DU8,General Cargo Ship
27.44,38150,24242,183.2,GIJON KNUTSEN,11276,12.14,9313527,219309000,OYOR2,Shuttle Tanker
21.03,12634,9611,138.1,SLOMAN DISPATCHER,4260,8,9620657,305738000,V2FO3,General Cargo Ship
15.5,2355,2327,68.95,BAZALT II,751,6,9250036,210444000,5BAK6,Anchor Handling Tug Supply
11.38,2308,1532,82.48,ARCTICA HAV,853,4.22,8403571,311818000,C6UL8,General Cargo Ship
32.31,63310,36421,199.86,GENCO CONSTELLATION,21303,13.32,9714678,538009131,V7A4358,Bulk Carrier
23.5,5283,2409,85.5,EMS PONTON 10,722,3.4,9671606,,,"Deck Cargo Pontoon, non propelled"
12.89,3680,2446,87.9,WILSON GRIP,1369,5.51,9126912,314550000,8PBB7,General Cargo Ship
7.84,70,140,22.57,EMS POWER,42,3.16,9546954,255871000,CQWJ,Tug
15.5,2355,2327,68.95,BAZALT II,751,6,9250036,210444000,5BAK6,Anchor Handling Tug Supply
21.64,15012,12743,143.1,HAPPY PEREGRINE,3823,9.5,9553660,219558000,OWWQ2,LPG Tanker
12.62,3724,2663,87.9,NORDIC ERIKA,1551,5.3,9528495,246606000,PBTX,General Cargo Ship
0,4741,31283,149.9,LE COMMANDANT CHARCOT,9384,10.2,9846249,,,Passenger/Cruise
42.03,106324,57164,228.6,ALFA ALANDIA,31628,14.9,9752797,311000534,C6CP3,Crude Oil Tanker
48.04,158871,81722,274.22,OLYMPIC FRIENDSHIP,52054,17.15,9745251,538007512,V7SP5,Crude Oil Tanker
15.45,5200,3960,89.98,BIRKHOLM,1923,,9968229,,,General Cargo Ship
